TÓM TẮT LOGS TRONG QUÁ TRÌNH DATA CLEANING
Item: 969 values standardized to 'Unknown' (9.69%)
Payment Method: 3178 values standardized to 'Unknown' (31.78%)
Location: 3961 values standardized to 'Unknown' (39.61%)
Transaction Date: 460 missing or invalid values (4.60%)
TXN_4271903 | Total Spent Recalculated | 4.0 x 1.0
TXN_8068515 | Total Spent Recalculated | 1.0 x 1.0
TXN_3687257 | Total Spent Recalculated | 4.0 x 1.5
TXN_5470909 | Total Spent Recalculated | 4.0 x 1.0
TXN_8018572 | Total Spent Recalculated | 5.0 x 1.0
TXN_5012988 | Total Spent Recalculated | 3.0 x 5.0
TXN_5731238 | Total Spent Recalculated | 2.0 x 3.0
TXN_6148811 | Total Spent Recalculated | 5.0 x 1.5
TXN_2827259 | Total Spent Recalculated | 3.0 x 1.5
TXN_7316790 | Total Spent Recalculated | 1.0 x 2.0
TXN_5766532 | Total Spent Recalculated | 5.0 x 4.0
TXN_1704041 | Total Spent Recalculated | 4.0 x 2.0
TXN_6137985 | Total Spent Recalculated | 5.0 x 2.0
TXN_2823220 | Total Spent Recalculated | 4.0 x 5.0
TXN_3392953 | Total Spent Recalculated | 1.0 x 2.0
TXN_6744733 | Total Spent Recalculated | 1.0 x 4.0
TXN_9266499 | Total Spent Recalculated | 1.0 x 3.0
TXN_2749289 | Total Spent Recalculated | 2.0 x 4.0
TXN_1191659 | Total Spent Recalculated | 4.0 x 2.0
TXN_5548914 | Total Spent Recalculated | 2.0 x 3.0
TXN_9594133 | Total Spent Recalculated | 5.0 x 3.0
TXN_4766549 | Total Spent Recalculated | 2.0 x 4.0
Total Spent: 40 values could not be recalculated (0.40%)
